GenotypeID_V5_Grzybowski_etal_2022,State_Country_Origin,Subpopulation_Heteroticgroup
INBRED_100,Other,Unclassified
INBRED_109,Other,Tropical
INBRED_141,Other,Unclassified
INBRED_2-687,Argentina,Tropical
INBRED_305,Other,Unclassified
INBRED_309,Other,Unclassified
INBRED_321,Other,Tropical
J47,New Jersey,Unclassified
J8606,ExPVP,Unclassified
K148,Kansas,Non Stiff Stalk
K150,Kansas,Unclassified
K155,Kansas,Unclassified
K201,Kansas,Unclassified
K4,Kansas,Non Stiff Stalk
K41,Kansas,Unclassified
K47,Missouri,PopCorn
K55,Kansas,Non Stiff Stalk
K64,Kansas,Non Stiff Stalk
Ki11,Thailand,Tropical
Ki14,Thailand,Tropical
Ki2021,Thailand,Tropical
Ki21,Thailand,Tropical
Ki3,Thailand,Tropical
Ki43,Thailand,Tropical
Ki44,Thailand,Tropical
KO679Y,South Africa,Tropical 
KUNG-70,China,Unclassified
Ky21,Kentucky,Non Stiff Stalk
Ky226,Kentucky,Unclassified
Ky228,Kentucky,Unclassified
L_127,ExPVP,Iodent
L_135,ExPVP,Iodent
L_139,ExPVP,Non Stiff Stalk
L_155,ExPVP,Iodent
L_289,Other,Non Stiff Stalk
L222,Limagrain Genetics Corp.,Unclassified
L317,Iowa,Non Stiff Stalk
L578,Louisiana,Tropical
LH1,ExPVP,Stiff Stalk
LH119,ExPVP,Stiff Stalk
LH123HT,ExPVP,Non Stiff Stalk
LH127,ExPVP,Non Stiff Stalk
LH128,ExPVP,Non Stiff Stalk
LH132,ExPVP,Stiff Stalk
LH143_(Maintainer),Other,Stiff Stalk
LH145,ExPVP,Stiff Stalk
LH146Ht,ExPVP,Stiff Stalk
LH149,ExPVP,Stiff Stalk
LH150,"Holden's Foundation Seeds, Inc.",Unclassified
LH156,ExPVP,Non Stiff Stalk
LH159,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH160,ExPVP,Unclassified
LH162,ExPVP,Unclassified
LH163,ExPVP,Unclassified
LH164,"Holden's Foundation Seeds, Inc.",Iodent
LH165,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH166,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH167,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH168,,Non Stiff Stalk
LH169Ht,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH172,"Holden's Foundation Seeds, Inc.",Unclassified
LH175,"Holden's Foundation Seeds, Inc.",Unclassified
LH181,ExPVP,Non Stiff Stalk
LH183,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH184,"Holden's Foundation Seeds, Inc.",Unclassified
LH185,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH186,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH188,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH189Ht,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH190,ExPVP,Stiff Stalk
LH191,ExPVP,Unclassified
LH192,ExPVP,Stiff Stalk
LH193,ExPVP,Stiff Stalk
LH194,ExPVP,Stiff Stalk
LH195,ExPVP,Stiff Stalk
LH196,ExPVP,Stiff Stalk
LH197,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH198,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH199,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH200,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH202,ExPVP,Stiff Stalk
LH204,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH205,ExPVP,Stiff Stalk
LH206,ExPVP,Stiff Stalk
LH208,ExPVP,Stiff Stalk
LH209,ExPVP,Stiff Stalk
LH210,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH211,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH212Ht,ExPVP,Non Stiff Stalk
LH213,ExPVP,Non Stiff Stalk
LH214,ExPVP,Non Stiff Stalk
LH215,ExPVP,Non Stiff Stalk
LH216,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH217,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH218,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH220Ht,ExPVP,Stiff Stalk
LH222,ExPVP,Stiff Stalk
LH223,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH224,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH225,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH227,,Stiff Stalk
LH231,"Holden's Foundation Seeds, Inc.",Stiff Stalk
LH250,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH252,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH260,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH284,"Holden's Foundation Seeds, Inc.",Non Stiff Stalk
LH295,,Non Stiff Stalk
LH299,"Holden's Foundation Seeds, Inc.",Unclassified
LH38,ExPVP,Non Stiff Stalk
LH39,ExPVP,Non Stiff Stalk
LH51,ExPVP,Non Stiff Stalk
LH52,ExPVP,Non Stiff Stalk
LH54,ExPVP,Non Stiff Stalk
LH57,ExPVP,Non Stiff Stalk
LH59,ExPVP,Non Stiff Stalk
LH60,ExPVP,Non Stiff Stalk
LH61,ExPVP,Non Stiff Stalk
LH65,ExPVP,Non Stiff Stalk
LH74,ExPVP,Stiff Stalk
LH82,ExPVP,Non Stiff Stalk
LH85,ExPVP,Non Stiff Stalk
LH93,ExPVP,Unclassified
LIBC_4,ExPVP,Iodent
LP1_NR_Ht,ExPVP,Stiff Stalk
Lp215D,ExPVP,Non Stiff Stalk
LP5,Claeys Semences,Stiff Stalk
M14,Illinois,Non Stiff Stalk
M162W,South Africa,Non Stiff Stalk
M37W,South Africa,Tropical 
MBPM,ExPVP,Non Stiff Stalk
MBST,ExPVP,Non Stiff Stalk
MBWZ,DEKALB Plant Genetics,Iodent
MEF156-55-2,Maine?,Non Stiff Stalk
ML606,"United AgriSeeds, Inc.",Non Stiff Stalk
MM501D,"United AgriSeeds, Inc.",Non Stiff Stalk
Mo13,Missouri,Unclassified
Mo15W,Missouri,Unclassified
Mo16W,Missouri,Unclassified
Mo17,Missouri,Non Stiff Stalk
MO18W,Missouri,Tropical
Mo1W,Missouri,Non Stiff Stalk
Mo23W,Missouri,Unclassified
Mo24W,Missouri,Unclassified
Mo28W,Missouri,Unclassified
Mo3,Missouri,Unclassified
Mo30W,Missouri,Unclassified
Mo39,Missouri,Unclassified
Mo44,Missouri,Non Stiff Stalk
Mo45,Missouri,Unclassified
Mo46,Missouri,Non Stiff Stalk
Mo47,Missouri,Non Stiff Stalk
Mo5,Missouri,Unclassified
Mo7,Missouri,PopCorn
MoG,Missouri,Non Stiff Stalk
Mp339,Mississippi,Unclassified
MQ305,ExPVP,Iodent
